CLIENT - 2020-10-11 15:34:34,594 - ENVIADO | TIPO: 1| TAMANHO: 14
CLIENT - 2020-10-11 15:34:34,848 - RECEBIDO | TIPO: 2| TAMANHO: 14
CLIENT - 2020-10-11 15:34:34,937 - ENVIADO HEAD | TIPO: 3| TAMANHO: 14
CLIENT - 2020-10-11 15:34:35,443 - ENVIADO PAYLOAD | TIPO: 3| TAMANHO: 114
CLIENT - 2020-10-11 15:34:35,949 - ENVIADO EOP | TIPO: 3| TAMANHO: 114
CLIENT - 2020-10-11 15:34:36,620 - RECEBIDO | TIPO: 4| TAMANHO: 14
CLIENT - 2020-10-11 15:34:36,721 - ENVIADO HEAD | TIPO: 3| TAMANHO: 14
CLIENT - 2020-10-11 15:34:37,227 - ENVIADO PAYLOAD | TIPO: 3| TAMANHO: 114
CLIENT - 2020-10-11 15:34:37,734 - ENVIADO EOP | TIPO: 3| TAMANHO: 114
CLIENT - 2020-10-11 15:34:39,327 - RECEBIDO | TIPO: 4| TAMANHO: 14
CLIENT - 2020-10-11 15:34:39,345 - ENVIADO HEAD | TIPO: 3| TAMANHO: 14
CLIENT - 2020-10-11 15:34:39,850 - ENVIADO PAYLOAD | TIPO: 3| TAMANHO: 114
CLIENT - 2020-10-11 15:34:40,362 - ENVIADO EOP | TIPO: 3| TAMANHO: 114
CLIENT - 2020-10-11 15:34:41,942 - RECEBIDO | TIPO: 4| TAMANHO: 14
CLIENT - 2020-10-11 15:34:41,978 - ENVIADO HEAD | TIPO: 3| TAMANHO: 14
CLIENT - 2020-10-11 15:34:42,484 - ENVIADO PAYLOAD | TIPO: 3| TAMANHO: 114
CLIENT - 2020-10-11 15:34:42,991 - ENVIADO EOP | TIPO: 3| TAMANHO: 114
CLIENT - 2020-10-11 15:34:44,517 - RECEBIDO | TIPO: 4| TAMANHO: 14
CLIENT - 2020-10-11 15:34:44,551 - ENVIADO HEAD | TIPO: 3| TAMANHO: 14
CLIENT - 2020-10-11 15:34:45,058 - ENVIADO PAYLOAD | TIPO: 3| TAMANHO: 114
CLIENT - 2020-10-11 15:34:45,565 - ENVIADO EOP | TIPO: 3| TAMANHO: 114
CLIENT - 2020-10-11 15:34:47,203 - RECEBIDO | TIPO: 4| TAMANHO: 14
CLIENT - 2020-10-11 15:34:47,233 - ENVIADO HEAD | TIPO: 3| TAMANHO: 14
CLIENT - 2020-10-11 15:34:47,740 - ENVIADO PAYLOAD | TIPO: 3| TAMANHO: 55
CLIENT - 2020-10-11 15:34:48,246 - ENVIADO EOP | TIPO: 3| TAMANHO: 55
