CLIENT - 2020-10-11 16:17:03,968 - SERVER DISPONÍVEL
CLIENT - 2020-10-11 16:17:07,087 - RECEBIDO | TIPO: 1 | TAMANHO: 14
CLIENT - 2020-10-11 16:17:07,105 - ENVIADO | TIPO: 2 | TAMANHO: 14
CLIENT - 2020-10-11 16:17:07,371 - RECEBIDO HEAD| TIPO: 3 | TAMANHO: 10 | PACOTE: 1 | TOTAL PACOTES: 6 | CRC: b'\xc0z'
CLIENT - 2020-10-11 16:17:07,806 - RECEBIDO PAYLOAD| TIPO: 3 | TAMANHO: 114 | PACOTE: 1 | TOTAL PACOTES: 6 | CRC: b'\xc0z'
CLIENT - 2020-10-11 16:17:08,373 - RECEBIDO EOP | TIPO: 3 | TAMANHO: 4
CLIENT - 2020-10-11 16:17:08,891 - ENVIADO | TIPO: 4 | TAMANHO: 14
CLIENT - 2020-10-11 16:17:10,898 - RECEBIDO HEAD| TIPO: 3 | TAMANHO: 10 | PACOTE: 2 | TOTAL PACOTES: 6 | CRC: b'\xc1%'
CLIENT - 2020-10-11 16:17:10,904 - RECEBIDO PAYLOAD| TIPO: 3 | TAMANHO: 114 | PACOTE: 2 | TOTAL PACOTES: 6 | CRC: b'\xc1%'
CLIENT - 2020-10-11 16:17:10,917 - RECEBIDO EOP | TIPO: 3 | TAMANHO: 4
CLIENT - 2020-10-11 16:17:11,424 - ENVIADO | TIPO: 4 | TAMANHO: 14
CLIENT - 2020-10-11 16:17:13,430 - RECEBIDO HEAD| TIPO: 3 | TAMANHO: 10 | PACOTE: 3 | TOTAL PACOTES: 6 | CRC: b't\xcf'
CLIENT - 2020-10-11 16:17:13,454 - RECEBIDO PAYLOAD| TIPO: 3 | TAMANHO: 114 | PACOTE: 3 | TOTAL PACOTES: 6 | CRC: b't\xcf'
CLIENT - 2020-10-11 16:17:13,460 - RECEBIDO EOP | TIPO: 3 | TAMANHO: 4
CLIENT - 2020-10-11 16:17:14,023 - ENVIADO | TIPO: 4 | TAMANHO: 14
CLIENT - 2020-10-11 16:17:16,029 - RECEBIDO HEAD| TIPO: 3 | TAMANHO: 10 | PACOTE: 4 | TOTAL PACOTES: 6 | CRC: b'fd'
CLIENT - 2020-10-11 16:17:16,064 - RECEBIDO PAYLOAD| TIPO: 3 | TAMANHO: 114 | PACOTE: 4 | TOTAL PACOTES: 6 | CRC: b'fd'
CLIENT - 2020-10-11 16:17:16,064 - RECEBIDO EOP | TIPO: 3 | TAMANHO: 4
CLIENT - 2020-10-11 16:17:16,636 - ENVIADO | TIPO: 4 | TAMANHO: 14
CLIENT - 2020-10-11 16:17:18,642 - RECEBIDO HEAD| TIPO: 3 | TAMANHO: 10 | PACOTE: 5 | TOTAL PACOTES: 6 | CRC: b'9\x8c'
CLIENT - 2020-10-11 16:17:18,660 - RECEBIDO PAYLOAD| TIPO: 3 | TAMANHO: 114 | PACOTE: 5 | TOTAL PACOTES: 6 | CRC: b'9\x8c'
CLIENT - 2020-10-11 16:17:18,672 - RECEBIDO EOP | TIPO: 3 | TAMANHO: 4
CLIENT - 2020-10-11 16:17:19,213 - ENVIADO | TIPO: 4 | TAMANHO: 14
CLIENT - 2020-10-11 16:17:21,220 - RECEBIDO HEAD| TIPO: 3 | TAMANHO: 10 | PACOTE: 6 | TOTAL PACOTES: 6 | CRC: b'\xed\xfe'
CLIENT - 2020-10-11 16:17:21,367 - RECEBIDO PAYLOAD| TIPO: 3 | TAMANHO: 55 | PACOTE: 6 | TOTAL PACOTES: 6 | CRC: b'\xed\xfe'
CLIENT - 2020-10-11 16:17:21,373 - RECEBIDO EOP | TIPO: 3 | TAMANHO: 4
CLIENT - 2020-10-11 16:17:21,892 - ENVIADO | TIPO: 4 | TAMANHO: 14
