CLIENT - 2020-10-11 16:22:15,956 - SERVER DISPONÍVEL
CLIENT - 2020-10-11 16:22:23,097 - RECEBIDO | TIPO: 1 | TAMANHO: 14
CLIENT - 2020-10-11 16:22:23,109 - ENVIADO | TIPO: 2 | TAMANHO: 14
CLIENT - 2020-10-11 16:22:23,445 - RECEBIDO HEAD| TIPO: 3 | TAMANHO: 10 | PACOTE: 1 | TOTAL PACOTES: 6 | CRC: b'\xc0z'
CLIENT - 2020-10-11 16:22:23,962 - RECEBIDO PAYLOAD| TIPO: 3 | TAMANHO: 114 | PACOTE: 1 | TOTAL PACOTES: 6 | CRC: b'\xc0z'
CLIENT - 2020-10-11 16:22:24,506 - RECEBIDO EOP | TIPO: 3 | TAMANHO: 4
CLIENT - 2020-10-11 16:22:25,041 - ENVIADO | TIPO: 4 | TAMANHO: 14
CLIENT - 2020-10-11 16:22:27,045 - RECEBIDO HEAD| TIPO: 3 | TAMANHO: 10 | PACOTE: 2 | TOTAL PACOTES: 6 | CRC: b'\xc1%'
CLIENT - 2020-10-11 16:22:27,109 - RECEBIDO PAYLOAD| TIPO: 3 | TAMANHO: 114 | PACOTE: 2 | TOTAL PACOTES: 6 | CRC: b'\xc1%'
CLIENT - 2020-10-11 16:22:27,109 - RECEBIDO EOP | TIPO: 3 | TAMANHO: 4
CLIENT - 2020-10-11 16:22:27,680 - ENVIADO | TIPO: 4 | TAMANHO: 14
CLIENT - 2020-10-11 16:22:29,686 - RECEBIDO HEAD| TIPO: 3 | TAMANHO: 10 | PACOTE: 3 | TOTAL PACOTES: 6 | CRC: b't\xcf'
CLIENT - 2020-10-11 16:22:29,703 - RECEBIDO PAYLOAD| TIPO: 3 | TAMANHO: 114 | PACOTE: 3 | TOTAL PACOTES: 6 | CRC: b't\xcf'
CLIENT - 2020-10-11 16:22:29,750 - RECEBIDO EOP | TIPO: 3 | TAMANHO: 4
CLIENT - 2020-10-11 16:22:30,289 - ENVIADO | TIPO: 4 | TAMANHO: 14
CLIENT - 2020-10-11 16:22:32,296 - RECEBIDO HEAD| TIPO: 3 | TAMANHO: 10 | PACOTE: 4 | TOTAL PACOTES: 6 | CRC: b'fd'
CLIENT - 2020-10-11 16:22:32,347 - RECEBIDO PAYLOAD| TIPO: 3 | TAMANHO: 114 | PACOTE: 4 | TOTAL PACOTES: 6 | CRC: b'fd'
CLIENT - 2020-10-11 16:22:32,347 - RECEBIDO EOP | TIPO: 3 | TAMANHO: 4
CLIENT - 2020-10-11 16:22:32,900 - ENVIADO | TIPO: 4 | TAMANHO: 14
CLIENT - 2020-10-11 16:22:34,903 - RECEBIDO HEAD| TIPO: 3 | TAMANHO: 10 | PACOTE: 5 | TOTAL PACOTES: 6 | CRC: b'9\x8c'
CLIENT - 2020-10-11 16:22:34,949 - RECEBIDO PAYLOAD| TIPO: 3 | TAMANHO: 114 | PACOTE: 5 | TOTAL PACOTES: 6 | CRC: b'9\x8c'
CLIENT - 2020-10-11 16:22:34,955 - RECEBIDO EOP | TIPO: 3 | TAMANHO: 4
CLIENT - 2020-10-11 16:22:35,474 - ENVIADO | TIPO: 4 | TAMANHO: 14
CLIENT - 2020-10-11 16:22:37,475 - RECEBIDO HEAD| TIPO: 3 | TAMANHO: 10 | PACOTE: 6 | TOTAL PACOTES: 6 | CRC: b'\xed\xfe'
CLIENT - 2020-10-11 16:22:37,535 - RECEBIDO PAYLOAD| TIPO: 3 | TAMANHO: 55 | PACOTE: 6 | TOTAL PACOTES: 6 | CRC: b'\xed\xfe'
CLIENT - 2020-10-11 16:22:37,535 - RECEBIDO EOP | TIPO: 3 | TAMANHO: 4
CLIENT - 2020-10-11 16:22:38,047 - ENVIADO | TIPO: 4 | TAMANHO: 14
